,Locality,Population,Country,latitude,longitude
0,Cape Town,3433441,South Africa,-33.928992,18.417396
1,Durban,3120282,South Africa,-29.861825,31.009909
2,Johannesburg,2026469,South Africa,-26.205,28.049722
3,Soweto,1695047,South Africa,-26.2227778,27.89
4,Pretoria,1619438,South Africa,-25.7459374,28.1879444
5,Port Elizabeth,967677,South Africa,-33.9617051,25.6207519
6,Pietermaritzburg,750845,South Africa,-29.6,30.3788889
7,Benoni,605344,South Africa,-26.1930356,28.3082376
8,Tembisa,511655,South Africa,-26.0221753,28.2014478
9,East London,478676,South Africa,-33.0191604,27.8998573
10,Vereeniging,474681,South Africa,-26.6747222,27.9261111
11,Bloemfontein,463064,South Africa,-29.116395,26.215496
12,Boksburg,445168,South Africa,-26.2124639,28.2617471
13,Welkom,431944,South Africa,-27.982298,26.737969
14,Newcastle,404838,South Africa,-27.762778,29.923889
15,Krugersdorp,378821,South Africa,-26.095556,27.775556
16,Diepsloot,350000,South Africa,-33.9465645,18.3779947
17,Randburg,337053,South Africa,-26.096111,27.975
18,Botshabelo,309714,South Africa,-29.232412,26.733255
19,Brakpan,305692,South Africa,-26.235278,28.37
20,Witbank,262491,South Africa,-25.8763485,29.2010447
21,Richards Bay,252968,South Africa,-28.7707857,32.0577775
22,Vanderbijlpark,246754,South Africa,-26.706891,27.836271
23,Centurion,233386,South Africa,-25.836389,28.180278
24,Uitenhage,228912,South Africa,-33.7674349,25.3961302
25,Roodepoort,225000,South Africa,-26.1563889,27.8858333
26,Paarl,190000,South Africa,-33.741667,18.975
27,Springs,186394,South Africa,-26.243056,28.431667
28,Carletonville,182304,South Africa,-26.361436,27.401916
29,Klerksdorp,178921,South Africa,-26.8625383,26.6656814
30,Midrand,173009,South Africa,-25.999262,28.125912
31,Westonaria,156831,South Africa,-26.3177778,27.6519444
32,Middelburg,154706,South Africa,-25.7678012,29.4555234
33,Vryheid,150012,South Africa,-27.7704908,30.7885741
34,Orkney,145801,South Africa,-26.975276,26.671926
35,Kimberley,142089,South Africa,-28.7383012,24.7642251
36,Embalenhle,141741,South Africa,-26.5416667,29.0747222
37,Nigel,140644,South Africa,-26.425961,28.470431
38,Mpumalanga,140121,South Africa,-26.276849,30.1500153
39,Bhisho,137287,South Africa,-32.8494444,27.4463889
40,Randfontein,133654,South Africa,-26.173611,27.694167
41,Worcester,127597,South Africa,-33.646238,19.445927
42,Rustenburg,124064,South Africa,-25.665655,27.241448
43,Polokwane,123749,South Africa,-23.9058333,29.4613889
44,Potchefstroom,123669,South Africa,-26.7150922,27.1013887
45,Virginia,122502,South Africa,-28.103056,26.859444
46,Brits,122497,South Africa,-25.6297222,27.7841667
47,Alberton,121536,South Africa,-26.2529561,28.1270777
48,Nelspruit,110159,South Africa,-25.481944,30.984722
49,Phalaborwa,109468,South Africa,-23.948502,31.137577
50,Queenstown,105309,South Africa,-31.892843,26.8776814
51,Kroonstad,103992,South Africa,-27.6532701,27.235515
52,Bethal,101919,South Africa,-26.4569444,29.4708333
53,Mokopane,101090,South Africa,-24.183333,29.016667
54,Mabopane,97417,South Africa,-25.5080556,28.0680556
55,Kutloanong,95008,South Africa,-27.83333,26.75
56,Stellenbosch,94263,South Africa,-33.934444,18.869167
57,Stilfontein,93110,South Africa,-26.842989,26.783249
58,Delmas,92046,South Africa,-26.146111,28.683611
59,Grahamstown,91548,South Africa,-33.3070589,26.5272648
60,Warmbaths,90210,South Africa,-24.8881409,28.2911738
61,Louis Trichardt,86854,South Africa,-23.038326,29.906665
62,Dundee,84413,South Africa,-28.161389,30.235
63,Piet Retief,84349,South Africa,-27.006667,30.807778
64,Phuthaditjhaba,84258,South Africa,-28.534154,28.816303
65,Bethlehem,83654,South Africa,-28.2308333,28.3088889
66,Mthatha,78663,South Africa,-31.589075,28.789145
67,Sasolburg,77016,South Africa,-26.810278,27.821389
68,Mmabatho,76754,South Africa,-25.8491608,25.6091648
69,Standerton,74021,South Africa,-26.9433333,29.2436111
70,Bothaville,71934,South Africa,-27.388889,26.616667
71,Upington,71373,South Africa,-28.456325,21.241867
72,Parys,71319,South Africa,-26.904354,27.456125
73,Schweizer Reneke,70214,South Africa,-27.193361,25.332025
74,Ga Rankuwa,68767,South Africa,-25.6041667,28.0052778
75,Knysna,68659,South Africa,-34.035734,23.048485
76,Saldanha,68284,South Africa,-32.9977778,17.9455556
77,Barberton,67927,South Africa,-25.782222,31.0475
78,Lichtenburg,65863,South Africa,-26.149862,26.159257
79,Heidelberg,64199,South Africa,-34.089958,20.9585895
80,Graaff Reinet,62896,South Africa,-32.2535405,24.5336485
81,Fochville,62416,South Africa,-26.4866667,27.4933333
82,Oudtshoorn,61507,South Africa,-33.5902954,22.204206
83,Atlantis,60266,South Africa,-33.5672222,18.5002778
84,Kwadukuza,59899,South Africa,-29.335722,31.296489
85,Mossel Bay,59031,South Africa,-34.1832022,22.1536248
86,Fort Beaufort,58419,South Africa,-32.7766075,26.6333138
87,Kraaifontein,57911,South Africa,-33.8477778,18.7161111
88,Wellington,55543,South Africa,-33.643055,19.010556
89,Heilbron,55196,South Africa,-27.286389,27.969444
90,Viljoenskroon,54955,South Africa,-27.208333,26.948056
91,Port Shepstone,52793,South Africa,-30.742778,30.450556
92,Vryburg,49588,South Africa,-26.955347,24.7300938
93,Wolmaransstad,49366,South Africa,-27.200475,25.979925
94,Edenvale,49292,South Africa,-26.1366667,28.1511111
95,Esikhaleni,49265,South Africa,-29.9872968,30.8770323
96,Balfour,46008,South Africa,-26.658679,28.589806
97,Mondlo,44922,South Africa,-27.958203,30.7196884
98,Beaufort West,44737,South Africa,-32.353611,22.580556
99,Aliwal North,44436,South Africa,-30.694167,26.709722
100,Thohoyandou,44046,South Africa,-22.9676429,30.4596582
